elapsed_hours,avg_tick_ms,p95_tick_ms,max_tick_ms,train_rate_per_hr,step_ms,gpu_ms,trainer_queue_wait_ms,tick_samples
1.3830555555555555,2007.3310084033612,2624.6,2999.88,6894581.0,1419.6,1110.5,0.01,119
1.4,1988.8032786885246,2508.75,2902.48,6895207.0,1418.7,1109.8,0.01,122
1.4172222222222222,2005.7826666666667,2575.52,2806.19,6925636.0,1418.1,1109.4,0.01,120
1.433888888888889,1980.7386554621849,2550.0,2850.17,6662668.0,1417.4,1108.9,0.01,119
1.4508333333333334,2128.9503305785124,2806.34,3658.87,6661355.0,1416.7,1108.5,0.01,121
1.4675,2076.1880833333335,2838.21,3277.8,6913914.0,1415.8,1107.7,0.01,120
1.4844444444444445,2137.7359166666665,2758.78,3468.45,6681470.0,1415.1,1107.1,0.01,120
1.5013888888888889,2221.845630252101,2915.84,3278.19,6942245.0,1414.5,1106.8,0.01,119
1.5183333333333333,2287.56975,2946.38,3561.97,6488144.0,1413.9,1106.4,0.01,120
1.5352777777777777,2252.6982644628097,2948.12,3358.61,6707915.0,1413.1,1105.8,0.01,121
1.5522222222222222,2301.8952066115703,2901.93,3526.03,6692084.0,1412.4,1105.4,0.01,121
1.5691666666666666,2352.0028947368423,3258.94,3902.31,6414754.0,1415.2,1107.8,0.01,114
1.586111111111111,2396.627,3116.61,3598.5,6668799.0,1414.5,1107.4,0.01,120
1.6030555555555555,2725.177142857143,3422.42,4013.82,5927383.0,1413.7,1106.8,0.01,119
1.62,2676.321440677966,3378.38,3838.98,5959758.0,1408.8,1102.8,0.01,118
1.6369444444444445,2644.7731896551722,3273.55,3564.06,6220380.0,1407.9,1102.3,0.01,116
1.653888888888889,2682.3970833333337,3356.19,3987.37,6390465.0,1407.3,1101.7,0.01,120
1.6711111111111112,2721.8897500000003,3461.94,4107.19,5965305.0,1406.4,1100.9,0.01,120
1.6877777777777778,2827.366916666667,3639.18,4427.37,5664309.0,1405.4,1099.7,0.01,120
1.705,2960.0337606837606,3668.29,4401.24,5733898.0,1404.9,1098.8,0.01,117
1.7219444444444445,2829.8394957983196,3673.83,4310.58,5721719.0,1404.6,1098.7,0.01,119
1.738888888888889,2859.621932773109,3596.56,4142.71,5912529.0,1404.1,1098.3,0.01,119
1.7555555555555555,2872.0680672268904,3795.34,4193.24,5997926.0,1403.6,1097.9,0.01,119
1.7725,2892.7043220338983,3722.29,4087.72,5942476.0,1402.9,1097.5,0.01,118
1.7894444444444444,3041.8840677966105,3857.73,4332.8,5707356.0,1402.4,1096.8,0.01,118
1.8063888888888888,3004.7912605042015,3647.62,4352.78,5929398.0,1401.2,1095.8,0.01,119
1.8233333333333333,3207.925765765766,4205.49,4942.6,5484435.0,1403.6,1097.4,0.01,111
1.8402777777777777,3137.212456140351,3889.78,4583.67,5707588.0,1402.9,1096.8,0.01,114
1.8572222222222223,2966.256923076923,3822.25,4560.91,6179963.0,1401.9,1095.9,0.01,117
1.873888888888889,2964.6678632478634,3747.75,4228.97,5927057.0,1401.1,1095.3,0.01,117
1.8908333333333334,3050.9492241379307,3696.72,4394.45,5693992.0,1400.8,1094.7,0.01,116
1.9077777777777778,3157.706134453781,3936.74,4723.95,5678028.0,1398.5,1092.8,0.01,119
1.9247222222222222,3082.1211504424778,3921.84,4544.65,5661712.0,1395.4,1090.4,0.01,113
1.9416666666666667,3226.3739316239316,4105.99,4636.38,5705358.0,1395.0,1089.8,0.01,117
1.958611111111111,3137.156806722689,4030.61,4581.88,5943289.0,1395.0,1089.9,0.01,119
1.9755555555555555,3105.0864957264957,3974.8,4342.3,5681965.0,1394.6,1089.3,0.01,117
1.9922222222222221,3237.9086842105266,3992.28,4359.25,5657660.0,1394.6,1089.2,0.01,114
2.0094444444444446,2996.5815000000002,3650.89,4428.55,5669953.0,1394.6,1088.9,0.01,120
2.026111111111111,3270.832711864407,4024.97,5148.84,5942768.0,1395.0,1089.2,0.01,118
2.0430555555555556,3127.9792173913042,3902.97,4643.67,5924440.0,1394.8,1089.1,0.01,115
2.06,3226.6472033898303,3940.01,4702.81,5701697.0,1394.9,1089.3,0.01,118
2.0769444444444445,3102.461694915254,4063.24,4660.25,5460501.0,1398.0,1091.5,0.01,118
2.093888888888889,3151.686896551724,4105.24,4788.54,5699082.0,1398.1,1091.4,0.01,116
2.1108333333333333,3105.398728813559,4110.0,4603.84,5921397.0,1397.8,1091.3,0.01,118
