Head to head statistics:

   1 Sloppy                                             :Removed from calculation
 2) Stockfish                                    1320.0 :   3600 (+3567,=14,-19),  99.3 %

    vs.                                                 :  games (    +,  =,  -),   (%) :    Diff,    SD, CFS (%)
    DCM freshNet (latest)                               :    100 (   94,   6,   0),  97.0 :  +539.6,   7.8,  100.0

 4) DCM v5                                        603.8 :   3600 (+2270,=615,-715),  71.6 %

    vs.                                                 :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    3,   0,  97),   3.0 :  -716.2,  28.5,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   32,  20,  48),  42.0 :    -2.1,   7.8,   39.3
    DCM Qeu8-resume2 (latest)                           :    100 (   39,  20,  41),  49.0 :   +15.3,   7.8,   97.5
    DCM nT8Y-resume3 (latest)                           :    100 (   43,  14,  43),  50.0 :   +26.8,   7.4,  100.0
    DCM Qeu8 (latest)                                   :    100 (   48,  15,  37),  55.5 :   +36.7,   6.7,  100.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   45,  19,  36),  54.5 :   +41.9,   7.8,  100.0
    DCM Qeu8e3 (latest)                                 :    100 (   49,  22,  29),  60.0 :   +68.2,   7.0,  100.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   46,  19,  35),  55.5 :   +69.5,   7.0,  100.0
    DCM nT8Y-resume4 (latest)                           :    100 (   61,  12,  27),  67.0 :   +71.8,   7.4,  100.0
    DCM - Qeu8e5                                        :    100 (   53,  20,  27),  63.0 :   +75.7,   7.1,  100.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   57,  24,  19),  69.0 :   +78.2,   6.4,  100.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   48,  22,  30),  59.0 :   +78.7,   6.9,  100.0
    DCM Qeu8e4 (latest)                                 :    100 (   45,  22,  33),  56.0 :   +85.4,   7.9,  100.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   48,  22,  30),  59.0 :   +88.4,   7.0,  100.0
    DCM nT8Y-resume2 (latest)                           :    100 (   55,  22,  23),  66.0 :   +96.7,   7.7,  100.0
    DCM Qeu8e2 (latest)                                 :    100 (   57,  15,  28),  64.5 :  +104.2,   7.4,  100.0
    DCM Qeu8e5 (latest)                                 :    100 (   54,  24,  22),  66.0 :  +104.7,   7.0,  100.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   56,  22,  22),  67.0 :  +130.9,   6.5,  100.0
    DCM mini1b-Coxw (latest)                            :    100 (   57,  27,  16),  70.5 :  +141.0,   7.2,  100.0
    DCM nT8Y-fatconv (latest)                           :    100 (   58,  24,  18),  70.0 :  +156.1,   6.3,  100.0
    DCM Qeu8e (latest)                                  :    100 (   70,  21,   9),  80.5 :  +221.8,   7.4,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   68,  21,  11),  78.5 :  +227.8,   7.6,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   73,  13,  14),  79.5 :  +229.7,   6.9,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   71,  22,   7),  82.0 :  +269.4,   6.8,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   75,  19,   6),  84.5 :  +275.2,   7.0,  100.0
    DCM mini-YkKk (latest)                              :    100 (   76,  18,   6),  85.0 :  +298.4,   7.0,  100.0
    DCM T97X (latest)                                   :    100 (   89,  11,   0),  94.5 :  +422.2,   7.3,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   87,  13,   0),  93.5 :  +425.6,   7.0,  100.0
