Head to head statistics:

   1 Sloppy                                             :Removed from calculation
 2) Stockfish                                    1320.0 :   3600 (+3567,=14,-19),  99.3 %

    vs.                                                 :  games (    +,  =,  -),   (%) :    Diff,    SD, CFS (%)
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   94,   6,   0),  97.0 :  +458.8,   7.3,  100.0
    DCM freshNet (latest)                               :    100 (   88,  12,   0),  94.0 :  +458.8,   7.2,  100.0

15) DCM Qeu8e4 (latest)                           518.4 :   3600 (+1824,=857,-919),  62.6 %

    vs.                                                 :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    0,   0, 100),   0.0 :  -801.6,  27.7,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   26,  20,  54),  36.0 :   -87.5,   8.0,    0.0
    DCM v5                                              :    100 (   33,  22,  45),  44.0 :   -85.4,   7.9,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   30,  25,  45),  42.5 :   -70.0,   7.2,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   29,  29,  42),  43.5 :   -58.5,   6.7,    0.0
    DCM Qeu8 (latest)                                   :    100 (   36,  21,  43),  46.5 :   -48.7,   7.5,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   35,  29,  36),  49.5 :   -43.4,   6.5,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   36,  20,  44),  46.0 :   -17.1,   6.5,    0.4
    DCM mini2b-3MIV-resume (latest)                     :    100 (   36,  26,  38),  49.0 :   -15.9,   7.6,    1.8
    DCM nT8Y-resume4 (latest)                           :    100 (   36,  22,  42),  47.0 :   -13.6,   6.8,    2.3
    DCM - Qeu8e5                                        :    100 (   38,  26,  36),  51.0 :    -9.7,   6.4,    6.5
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   34,  33,  33),  50.5 :    -7.2,   6.9,   14.9
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   39,  16,  45),  47.0 :    -6.6,   6.4,   15.1
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   40,  26,  34),  53.0 :    +3.0,   6.6,   67.4
    DCM nT8Y-resume2 (latest)                           :    100 (   39,  26,  35),  52.0 :   +11.3,   7.0,   94.7
    DCM Qeu8e2 (latest)                                 :    100 (   34,  33,  33),  50.5 :   +18.9,   6.8,   99.7
    DCM Qeu8e5 (latest)                                 :    100 (   39,  32,  29),  55.0 :   +19.3,   7.1,   99.7
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   38,  24,  38),  50.0 :   +45.5,   7.3,  100.0
    DCM mini1b-Coxw (latest)                            :    100 (   35,  36,  29),  53.0 :   +55.6,   7.8,  100.0
    DCM nT8Y-fatconv (latest)                           :    100 (   50,  23,  27),  61.5 :   +70.7,   6.0,  100.0
    DCM Qeu8e (latest)                                  :    100 (   53,  26,  21),  66.0 :  +136.4,   7.2,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   46,  30,  24),  61.0 :  +142.4,   7.8,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   54,  37,   9),  72.5 :  +144.3,   6.7,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   57,  29,  14),  71.5 :  +184.0,   7.1,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   61,  25,  14),  73.5 :  +189.8,   6.8,  100.0
    DCM mini-YkKk (latest)                              :    100 (   62,  30,   8),  77.0 :  +213.0,   7.0,  100.0
    DCM T97X (latest)                                   :    100 (   78,  22,   0),  89.0 :  +336.8,   7.7,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   79,  21,   0),  89.5 :  +340.2,   7.2,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   89,  11,   0),  94.5 :  +362.4,   7.1,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   73,  27,   0),  86.5 :  +374.2,   7.2,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   83,  16,   1),  91.0 :  +385.3,   8.9,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   74,  26,   0),  87.0 :  +385.6,   7.2,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   81,  19,   0),  90.5 :  +387.8,   7.1,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   77,  23,   0),  88.5 :  +450.8,   7.2,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   92,   8,   0),  96.0 :  +452.1,   7.4,  100.0
    DCM freshNet (latest)                               :    100 (   82,  18,   0),  91.0 :  +452.1,   7.5,  100.0

16) DCM mini2b-3MIV-resume2 (latest)              515.4 :   3600 (+1811,=859,-930),  62.2 %

    vs.                                                 :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    0,   0, 100),   0.0 :  -804.6,  28.0,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   31,  12,  57),  37.0 :   -90.5,   7.4,    0.0
    DCM v5                                              :    100 (   30,  22,  48),  41.0 :   -88.4,   7.0,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   30,  16,  54),  38.0 :   -73.0,   7.1,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   35,  22,  43),  46.0 :   -61.5,   6.6,    0.0
    DCM Qeu8 (latest)                                   :    100 (   33,  20,  47),  43.0 :   -51.7,   6.6,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   31,  20,  49),  41.0 :   -46.4,   7.1,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   33,  18,  49),  42.0 :   -20.1,   6.7,    0.1
    DCM mini2b-3MIV-resume (latest)                     :    100 (   30,  32,  38),  46.0 :   -18.9,   6.9,    0.3
    DCM nT8Y-resume4 (latest)                           :    100 (   45,  26,  29),  58.0 :   -16.6,   6.9,    0.8
    DCM - Qeu8e5                                        :    100 (   45,  23,  32),  56.5 :   -12.7,   6.8,    3.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   35,  25,  40),  47.5 :   -10.2,   6.9,    7.1
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   36,  24,  40),  48.0 :    -9.6,   6.5,    6.8
    DCM Qeu8e4 (latest)                                 :    100 (   34,  26,  40),  47.0 :    -3.0,   6.6,   32.6
    DCM nT8Y-resume2 (latest)                           :    100 (   37,  30,  33),  52.0 :    +8.3,   6.9,   88.5
    DCM Qeu8e2 (latest)                                 :    100 (   42,  17,  41),  50.5 :   +15.9,   6.3,   99.4
    DCM Qeu8e5 (latest)                                 :    100 (   36,  36,  28),  54.0 :   +16.4,   6.9,   99.1
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   39,  34,  27),  56.0 :   +42.5,   6.6,  100.0
    DCM mini1b-Coxw (latest)                            :    100 (   37,  38,  25),  56.0 :   +52.6,   7.6,  100.0
    DCM nT8Y-fatconv (latest)                           :    100 (   55,  24,  21),  67.0 :   +67.7,   6.5,  100.0
    DCM Qeu8e (latest)                                  :    100 (   49,  31,  20),  64.5 :  +133.4,   7.7,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   56,  31,  13),  71.5 :  +139.4,   7.2,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   51,  29,  20),  65.5 :  +141.3,   6.6,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   58,  31,  11),  73.5 :  +181.0,   7.2,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   53,  33,  14),  69.5 :  +186.8,   6.9,  100.0
    DCM mini-YkKk (latest)                              :    100 (   57,  32,  11),  73.0 :  +210.0,   7.3,  100.0
    DCM T97X (latest)                                   :    100 (   77,  23,   0),  88.5 :  +333.8,   7.4,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   81,  19,   0),  90.5 :  +337.2,   7.0,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   79,  21,   0),  89.5 :  +359.4,   6.9,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   83,  17,   0),  91.5 :  +371.2,   7.7,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   64,  36,   0),  82.0 :  +382.3,   8.9,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   76,  24,   0),  88.0 :  +382.6,   7.3,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   77,  23,   0),  88.5 :  +384.8,   7.2,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   81,  19,   0),  90.5 :  +447.8,   7.4,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   89,  11,   0),  94.5 :  +449.1,   7.6,  100.0
    DCM freshNet (latest)                               :    100 (   86,  14,   0),  93.0 :  +449.1,   7.4,  100.0

17) DCM nT8Y-resume2 (latest)                     507.1 :   3600 (+1807,=800,-993),  61.3 %

    vs.                                                 :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    3,   1,  96),   3.5 :  -812.9,  28.3,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   27,  17,  56),  35.5 :   -98.8,   7.1,    0.0
    DCM v5                                              :    100 (   23,  22,  55),  34.0 :   -96.7,   7.7,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   30,  18,  52),  39.0 :   -81.4,   7.2,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   31,  27,  42),  44.5 :   -69.9,   7.0,    0.0
    DCM Qeu8 (latest)                                   :    100 (   34,  29,  37),  48.5 :   -60.0,   7.1,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   29,  23,  48),  40.5 :   -54.8,   7.1,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   27,  15,  58),  34.5 :   -28.5,   6.7,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   24,  20,  56),  34.0 :   -27.2,   7.0,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (   31,  22,  47),  42.0 :   -24.9,   7.1,    0.0
    DCM - Qeu8e5                                        :    100 (   40,  21,  39),  50.5 :   -21.0,   7.0,    0.1
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   34,  25,  41),  46.5 :   -18.5,   6.4,    0.2
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   36,  27,  37),  49.5 :   -18.0,   6.8,    0.4
    DCM Qeu8e4 (latest)                                 :    100 (   35,  26,  39),  48.0 :   -11.3,   7.0,    5.3
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   33,  30,  37),  48.0 :    -8.3,   6.9,   11.5
    DCM Qeu8e2 (latest)                                 :    100 (   43,  21,  36),  53.5 :    +7.5,   6.8,   86.8
    DCM Qeu8e5 (latest)                                 :    100 (   37,  29,  34),  51.5 :    +8.0,   7.3,   86.3
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   39,  21,  40),  49.5 :   +34.2,   7.4,  100.0
    DCM mini1b-Coxw (latest)                            :    100 (   42,  26,  32),  55.0 :   +44.3,   7.0,  100.0
    DCM nT8Y-fatconv (latest)                           :    100 (   48,  27,  25),  61.5 :   +59.4,   7.1,  100.0
    DCM Qeu8e (latest)                                  :    100 (   60,  25,  15),  72.5 :  +125.1,   6.6,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   57,  27,  16),  70.5 :  +131.1,   7.3,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   56,  30,  14),  71.0 :  +133.0,   7.1,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   63,  22,  15),  74.0 :  +172.7,   7.1,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   53,  31,  16),  68.5 :  +178.5,   7.2,  100.0
    DCM mini-YkKk (latest)                              :    100 (   57,  34,   9),  74.0 :  +201.7,   7.5,  100.0
    DCM T97X (latest)                                   :    100 (   82,  18,   0),  91.0 :  +325.5,   6.8,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   81,  19,   0),  90.5 :  +328.9,   7.5,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   89,  11,   0),  94.5 :  +351.1,   7.4,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   77,  23,   0),  88.5 :  +362.9,   7.7,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   81,  19,   0),  90.5 :  +374.0,   8.4,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   71,  28,   1),  85.0 :  +374.3,   6.8,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   80,  20,   0),  90.0 :  +376.5,   6.8,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   84,  16,   0),  92.0 :  +439.4,   7.0,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   87,  13,   0),  93.5 :  +440.8,   7.7,  100.0
    DCM freshNet (latest)                               :    100 (   83,  17,   0),  91.5 :  +440.8,   7.4,  100.0

18) DCM Qeu8e2 (latest)                           499.5 :   3600 (+1755,=843,-1002),  60.5 %

    vs.                                                 :  games (    +,   =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    1,   1,   98),   1.5 :  -820.5,  27.4,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   30,  19,   51),  39.5 :  -106.4,   7.5,    0.0
    DCM v5                                              :    100 (   28,  15,   57),  35.5 :  -104.2,   7.4,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   29,  20,   51),  39.0 :   -88.9,   7.1,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   24,  28,   48),  38.0 :   -77.4,   6.4,    0.0
    DCM Qeu8 (latest)                                   :    100 (   27,  22,   51),  38.0 :   -67.6,   6.6,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   35,  22,   43),  46.0 :   -62.3,   6.2,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   35,  31,   34),  50.5 :   -36.0,   6.5,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   38,  26,   36),  51.0 :   -34.7,   6.5,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (   36,  23,   41),  47.5 :   -32.4,   6.4,    0.0
    DCM - Qeu8e5                                        :    100 (   31,  30,   39),  46.0 :   -28.5,   7.1,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   34,  21,   45),  44.5 :   -26.0,   6.4,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   35,  22,   43),  46.0 :   -25.5,   6.2,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (   33,  33,   34),  49.5 :   -18.9,   6.8,    0.3
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   41,  17,   42),  49.5 :   -15.9,   6.3,    0.6
    DCM nT8Y-resume2 (latest)                           :    100 (   36,  21,   43),  46.5 :    -7.5,   6.8,   13.2
    DCM Qeu8e5 (latest)                                 :    100 (   32,  28,   40),  46.0 :    +0.5,   6.8,   52.9
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   45,  25,   30),  57.5 :   +26.7,   7.0,  100.0
    DCM mini1b-Coxw (latest)                            :    100 (   31,  34,   35),  48.0 :   +36.7,   6.2,  100.0
    DCM nT8Y-fatconv (latest)                           :    100 (   39,  24,   37),  51.0 :   +51.8,   6.5,  100.0
    DCM Qeu8e (latest)                                  :    100 (   54,  29,   17),  68.5 :  +117.5,   6.5,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   53,  22,   25),  64.0 :  +123.5,   7.2,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   39,  35,   26),  56.5 :  +125.5,   6.4,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   58,  26,   16),  71.0 :  +165.2,   5.8,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   45,  45,   10),  67.5 :  +170.9,   6.2,  100.0
    DCM mini-YkKk (latest)                              :    100 (   57,  35,    8),  74.5 :  +194.1,   6.2,  100.0
    DCM T97X (latest)                                   :    100 (   84,  15,    1),  91.5 :  +317.9,   7.5,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   80,  20,    0),  90.0 :  +321.3,   6.6,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   80,  20,    0),  90.0 :  +343.6,   6.1,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   77,  23,    0),  88.5 :  +355.4,   6.3,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   77,  22,    1),  88.0 :  +366.4,   8.7,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   78,  22,    0),  89.0 :  +366.8,   6.9,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   78,  22,    0),  89.0 :  +369.0,   7.4,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   86,  14,    0),  93.0 :  +431.9,   6.7,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   80,  20,    0),  90.0 :  +433.3,   7.3,  100.0
    DCM freshNet (latest)                               :    100 (   89,  11,    0),  94.5 :  +433.3,   7.4,  100.0

19) DCM Qeu8e5 (latest)                           499.0 :   3600 (+1675,=999,-926),  60.4 %

    vs.                                                 :  games (    +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    0,   1,  99),   0.5 :  -821.0,  28.2,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   30,  21,  49),  40.5 :  -106.8,   7.4,    0.0
    DCM v5                                              :    100 (   22,  24,  54),  34.0 :  -104.7,   7.0,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   32,  32,  36),  48.0 :   -89.4,   6.8,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   30,  25,  45),  42.5 :   -77.9,   6.9,    0.0
    DCM Qeu8 (latest)                                   :    100 (   24,  30,  46),  39.0 :   -68.1,   6.0,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   29,  23,  48),  40.5 :   -62.8,   7.1,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   35,  24,  41),  47.0 :   -36.5,   7.4,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   41,  20,  39),  51.0 :   -35.2,   6.2,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (   26,  27,  47),  39.5 :   -32.9,   6.6,    0.0
    DCM - Qeu8e5                                        :    100 (   25,  28,  47),  39.0 :   -29.0,   6.3,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   36,  30,  34),  51.0 :   -26.5,   6.7,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   40,  23,  37),  51.5 :   -26.0,   6.8,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (   29,  32,  39),  45.0 :   -19.3,   7.1,    0.3
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   28,  36,  36),  46.0 :   -16.4,   6.9,    0.9
    DCM nT8Y-resume2 (latest)                           :    100 (   34,  29,  37),  48.5 :    -8.0,   7.3,   13.7
    DCM Qeu8e2 (latest)                                 :    100 (   40,  28,  32),  54.0 :    -0.5,   6.8,   47.1
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   34,  34,  32),  51.0 :   +26.2,   5.9,  100.0
    DCM mini1b-Coxw (latest)                            :    100 (   24,  35,  41),  41.5 :   +36.2,   7.1,  100.0
    DCM nT8Y-fatconv (latest)                           :    100 (   46,  37,  17),  64.5 :   +51.3,   7.0,  100.0
    DCM Qeu8e (latest)                                  :    100 (   47,  36,  17),  65.0 :  +117.0,   6.4,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   52,  37,  11),  70.5 :  +123.0,   7.4,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   51,  33,  16),  67.5 :  +125.0,   6.8,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   54,  35,  11),  71.5 :  +164.7,   6.9,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   63,  29,   8),  77.5 :  +170.4,   7.2,  100.0
    DCM mini-YkKk (latest)                              :    100 (   57,  37,   6),  75.5 :  +193.6,   6.9,  100.0
    DCM T97X (latest)                                   :    100 (   71,  29,   0),  85.5 :  +317.5,   7.3,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   78,  21,   1),  88.5 :  +320.8,   6.4,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   69,  31,   0),  84.5 :  +343.1,   6.8,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   74,  26,   0),  87.0 :  +354.9,   7.3,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   69,  31,   0),  84.5 :  +366.0,   8.2,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   74,  26,   0),  87.0 :  +366.3,   7.4,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   67,  33,   0),  83.5 :  +368.5,   7.3,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   83,  17,   0),  91.5 :  +431.4,   7.2,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   78,  22,   0),  89.0 :  +432.8,   7.5,  100.0
    DCM freshNet (latest)                               :    100 (   83,  17,   0),  91.5 :  +432.8,   7.6,  100.0

20) DCM v5_5block_7x7_lnout (latest)              472.9 :   3600 (+1555,=1025,-1020),  57.4 %

    vs.                                                 :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    1,    1,   98),   1.5 :  -847.1,  28.1,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   24,   31,   45),  39.5 :  -133.0,   7.2,    0.0
    DCM v5                                              :    100 (   22,   22,   56),  33.0 :  -130.9,   6.5,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   23,   19,   58),  32.5 :  -115.6,   6.8,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   21,   29,   50),  35.5 :  -104.1,   6.7,    0.0
    DCM Qeu8 (latest)                                   :    100 (   29,   27,   44),  42.5 :   -94.2,   6.0,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   17,   22,   61),  28.0 :   -89.0,   7.0,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   26,   25,   49),  38.5 :   -62.6,   7.2,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   29,   32,   39),  45.0 :   -61.4,   7.3,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (   28,   23,   49),  39.5 :   -59.1,   7.1,    0.0
    DCM - Qeu8e5                                        :    100 (   23,   25,   52),  35.5 :   -55.2,   6.3,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   37,   25,   38),  49.5 :   -52.7,   6.6,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   30,   30,   40),  45.0 :   -52.2,   7.4,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (   38,   24,   38),  50.0 :   -45.5,   7.3,    0.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   27,   34,   39),  44.0 :   -42.5,   6.6,    0.0
    DCM nT8Y-resume2 (latest)                           :    100 (   40,   21,   39),  50.5 :   -34.2,   7.4,    0.0
    DCM Qeu8e2 (latest)                                 :    100 (   30,   25,   45),  42.5 :   -26.7,   7.0,    0.0
    DCM Qeu8e5 (latest)                                 :    100 (   32,   34,   34),  49.0 :   -26.2,   5.9,    0.0
    DCM mini1b-Coxw (latest)                            :    100 (   29,   33,   38),  45.5 :   +10.1,   7.4,   91.4
    DCM nT8Y-fatconv (latest)                           :    100 (   31,   42,   27),  52.0 :   +25.2,   6.4,  100.0
    DCM Qeu8e (latest)                                  :    100 (   40,   43,   17),  61.5 :   +90.9,   6.8,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   47,   38,   15),  66.0 :   +96.9,   7.3,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (   53,   32,   15),  69.0 :   +98.8,   6.6,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (   57,   30,   13),  72.0 :  +138.5,   7.3,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (   49,   40,   11),  69.0 :  +144.3,   7.1,  100.0
    DCM mini-YkKk (latest)                              :    100 (   58,   35,    7),  75.5 :  +167.5,   6.8,  100.0
    DCM T97X (latest)                                   :    100 (   76,   23,    1),  87.5 :  +291.3,   7.0,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (   77,   23,    0),  88.5 :  +294.7,   6.6,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (   72,   27,    1),  85.5 :  +316.9,   6.7,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (   65,   35,    0),  82.5 :  +328.7,   6.7,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (   61,   39,    0),  80.5 :  +339.8,   8.4,  100.0
    DCM q2Bb-clamp (latest)                             :    100 (   69,   30,    1),  84.0 :  +340.1,   7.5,  100.0
    DCM 20260626-2-q2Bb-manual (latest)                 :    100 (   65,   35,    0),  82.5 :  +342.3,   7.6,  100.0
    DCM q2Bb-tanhSqrtN (latest)                         :    100 (   76,   24,    0),  88.0 :  +405.3,   6.8,  100.0
    DCM Exp1 - 467k-step basic30 + 7x7                  :    100 (   73,   27,    0),  86.5 :  +406.6,   7.5,  100.0
    DCM freshNet (latest)                               :    100 (   80,   20,    0),  90.0 :  +406.6,   7.7,  100.0

21) DCM mini1b-Coxw (latest)                      462.8 :   3600 (+1472,=1108,-1020),  56.3 %

    vs.                                                 :  games (    +,    =,    -),   (%) :    Diff,    SD, CFS (%)
    Stockfish                                           :    100 (    1,    0,   99),   1.0 :  -857.2,  28.3,    0.0
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   19,   26,   55),  32.0 :  -143.1,   8.3,    0.0
    DCM v5                                              :    100 (   16,   27,   57),  29.5 :  -141.0,   7.2,    0.0
    DCM Qeu8-resume2 (latest)                           :    100 (   24,   26,   50),  37.0 :  -125.6,   7.5,    0.0
    DCM nT8Y-resume3 (latest)                           :    100 (   21,   29,   50),  35.5 :  -114.1,   6.9,    0.0
    DCM Qeu8 (latest)                                   :    100 (   21,   22,   57),  32.0 :  -104.3,   7.3,    0.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   26,   28,   46),  40.0 :   -99.0,   8.0,    0.0
    DCM Qeu8e3 (latest)                                 :    100 (   29,   26,   45),  42.0 :   -72.7,   6.6,    0.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   26,   30,   44),  41.0 :   -71.4,   7.4,    0.0
    DCM nT8Y-resume4 (latest)                           :    100 (   18,   28,   54),  32.0 :   -69.2,   6.9,    0.0
    DCM - Qeu8e5                                        :    100 (   20,   25,   55),  32.5 :   -65.2,   7.3,    0.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (   21,   33,   46),  37.5 :   -62.8,   6.7,    0.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (   21,   39,   40),  40.5 :   -62.2,   6.6,    0.0
    DCM Qeu8e4 (latest)                                 :    100 (   29,   36,   35),  47.0 :   -55.6,   7.8,    0.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (   25,   38,   37),  44.0 :   -52.6,   7.6,    0.0
    DCM nT8Y-resume2 (latest)                           :    100 (   32,   26,   42),  45.0 :   -44.3,   7.0,    0.0
    DCM Qeu8e2 (latest)                                 :    100 (   35,   34,   31),  52.0 :   -36.7,   6.2,    0.0
