step,pElo,nll
15577,634.688,3.81771
15601,641.405,3.80701
15625,628.645,3.83018
15650,622.532,3.81926
15675,627.885,3.79716
15701,613.222,3.80535
15726,620.992,3.78659
15752,602.134,3.85331
15777,595.681,3.8644
15801,597.303,3.8332
15826,594.868,3.87555
15852,598.111,3.87687
15876,591.602,3.92892
15902,589.137,3.92526
15925,604.532,3.88964
15952,592.421,3.9196
15975,643.626,3.97714
16001,626.361,3.95481
16027,638.43,3.80945
16051,624.833,3.82091
16077,617.898,3.81345
16101,618.674,3.81854
16126,622.532,3.8257
16152,607.71,3.84522
16176,602.935,3.84444
16202,615.566,3.80583
16225,614.005,3.79552
16251,607.71,3.83423
16277,615.566,3.82949
16300,617.898,3.80129
16326,611.653,3.78877
16352,617.898,3.81395
16377,608.501,3.84165
16401,617.898,3.7788
16427,611.653,3.82997
16451,610.867,3.84821
16477,605.328,3.83356
16501,617.898,3.80629
16527,605.328,3.86267
16551,606.917,3.83351
16577,603.734,3.8625
16601,616.344,3.83638
16626,618.674,3.81477
16652,617.898,3.84426
16675,610.08,3.83181
16700,603.734,3.87225
16726,611.653,3.823
16751,611.653,3.83548
16777,623.3,3.80166
16802,608.501,3.85604
16825,604.532,3.86603
16850,612.438,3.85314
16876,607.71,3.82353
16902,612.438,3.83475
16925,620.22,3.80796
16950,627.885,3.80451
16977,610.867,3.82234
17000,624.067,3.79815
17025,624.067,3.8034
17050,617.898,3.85857
17075,605.328,3.83612
17100,606.917,3.84539
17126,529.063,4.09017
17150,594.054,3.82344
17177,612.438,3.80796
17200,617.898,3.77097
17226,620.992,3.8216
17251,613.222,3.81586
17276,600.529,3.83961
17301,604.532,3.87388
17327,603.734,3.92935
17350,601.332,3.79004
17376,601.332,3.74727
17401,620.992,3.75279
17427,610.08,3.74387
17450,601.332,3.75846
17476,614.005,3.76024
17502,610.867,3.79935
17525,579.982,3.91154
17551,614.005,4.0094
17577,608.501,3.98731
17600,543.102,4.29398
17626,595.681,3.82847
17652,617.898,3.75995
17675,623.3,3.74428
17701,614.786,3.75807
17727,613.222,3.7564
17750,614.005,3.74282
17776,636.188,3.73853
17802,616.344,3.79746
17825,627.885,3.73527
17851,614.005,3.77574
17876,616.344,3.77203
17901,630.919,3.75612
17926,626.361,3.7533
17951,630.162,3.75404
17976,638.43,3.73189
18002,630.162,3.7246
18027,620.992,3.80156
18052,621.762,3.79062
18075,621.762,3.79278
18100,624.067,3.78718
18126,618.674,3.78033
18152,627.885,3.78516
18177,619.447,3.80227
18200,618.674,3.80836
18226,638.43,3.77647
18252,629.404,3.76367
18275,623.3,3.80985
18300,617.122,3.79985
18326,614.786,3.80423
18351,610.08,3.77703
18377,610.08,3.82805
18400,625.597,3.79263
18426,618.674,3.80877
18451,609.291,3.80936
18477,606.123,3.79255
18502,623.3,3.77102
18525,615.566,3.80131
18551,617.898,3.79652
18577,617.122,3.78714
18601,625.597,3.78339
18625,634.688,3.70915
18650,656.048,3.70848
18675,630.162,3.72289
18701,621.762,3.73083
18725,617.122,3.75631
18751,619.447,3.73606
18776,616.344,3.79089
18802,616.344,3.79878
18825,610.867,3.81069
18851,615.566,3.81935
18876,602.134,3.82214
18902,601.332,3.87124
18925,607.71,3.87964
18951,619.447,3.71218
18977,620.992,3.73224
19000,618.674,3.76117
19026,640.663,3.7101
19052,627.123,3.74181
19075,623.3,3.77015
19101,625.597,3.8086
19127,613.222,3.80087
19151,608.501,3.78454
19177,629.404,3.81186
19201,608.501,4.1254
19227,620.22,3.99822
19251,624.833,3.89271
19277,613.222,3.88688
19301,620.22,3.84797
19327,606.123,3.85491
19352,608.501,3.83536
19376,613.222,3.82661
19402,600.529,3.81443
19426,620.22,3.79472
19452,600.529,3.83218
19476,606.917,3.81743
19502,608.501,3.82151
19525,614.005,3.8181
19551,605.328,3.81832
19577,601.332,3.83291
19601,594.054,3.85601
19627,612.438,3.80257
19651,625.597,3.87583
19677,634.688,3.783
19701,618.674,3.78653
19727,610.867,3.83825
19751,618.674,3.82361
19776,618.674,3.80089
19802,622.532,3.78511
19825,604.532,3.83263
19851,695.246,3.65782
19877,656.771,3.83666
19900,640.663,3.84877
19926,626.361,3.84664
19952,616.344,3.84485
19975,617.122,3.81197
20001,618.674,3.8126
20027,617.898,3.79205
20050,621.762,3.77077
20076,620.22,3.78871
20102,618.674,3.7657
20126,617.122,3.79116
20152,613.222,3.78294
20177,629.404,3.76102
20201,620.992,3.7718
20227,624.833,3.75177
20250,625.597,3.76816
20276,630.919,3.73881
20301,625.597,3.79611
20325,625.597,3.79511
20350,623.3,3.80239
20376,630.919,3.74979
20402,631.675,3.7238
20426,639.175,3.71914
20452,642.887,3.7333
20476,623.3,3.7496
20502,614.005,3.76611
20526,642.146,3.74176
20552,624.833,3.77582
20575,631.675,3.75766
20601,622.532,3.78756
20627,639.175,3.76168
20651,636.936,3.73614
20677,636.188,3.75152
20700,627.123,3.75869
20726,640.663,3.72251
20752,625.597,3.71613
20776,632.43,3.70664
20802,630.162,3.7686
20826,633.183,3.74804
20852,631.675,3.75837
20876,629.404,3.81047
20902,631.675,3.85043
20926,627.123,3.77228
20952,650.966,3.70091
20976,633.936,3.75003
21002,634.688,3.74843
21025,636.936,3.75955
21051,625.597,3.77587
21077,627.885,3.77306
21101,638.43,3.73381
21127,629.404,3.80034
21151,630.162,3.77532
21177,637.683,3.78101
21201,628.645,3.80465
21227,615.566,3.8449
21251,624.067,3.82492
21277,636.936,3.78688
21300,636.936,3.78406
21326,637.683,3.75513
