step,pElo,nll
8950,652.423,3.71749
8976,645.838,3.74041
9002,653.15,3.72806
9026,631.675,3.73423
9052,639.92,3.74043
9076,639.92,3.74065
9102,629.404,3.76226
9126,634.688,3.7261
9152,631.675,3.74665
9177,639.92,3.74338
9200,639.92,3.73418
9226,642.887,3.70986
9252,647.308,3.7278
9276,628.645,3.72536
9301,630.162,3.75235
9326,645.102,3.72147
9351,627.123,3.77259
9376,641.405,3.73384
9401,642.146,3.73951
9426,636.188,3.79152
9452,639.175,3.77892
9476,638.43,3.80237
9502,639.92,3.78056
9526,643.626,3.73806
9551,656.771,3.74161
9577,658.933,3.73385
9601,652.423,3.74249
9627,650.236,3.75183
9652,650.966,3.72558
9678,648.774,3.73339
9701,655.325,3.73328
9727,642.887,3.75778
9751,652.423,3.71933
9776,631.675,3.77211
9800,645.102,3.75562
9827,652.423,3.75883
9851,657.492,3.72884
9876,650.966,3.71173
9901,648.042,3.73748
9925,642.887,3.71708
9952,646.574,3.73035
9977,646.574,3.72525
10002,661.803,3.68506
10027,660.369,3.70181
10052,654.601,3.69774
10076,642.146,3.75096
10101,626.361,3.75532
10125,634.688,3.70471
10151,665.371,3.69838
10177,661.803,3.7066
10202,661.803,3.69752
10225,647.308,3.72982
10251,652.423,3.71064
10276,645.102,3.73117
10301,649.506,3.75416
10325,650.966,3.75793
10350,639.175,3.79509
10377,649.506,3.72491
10390,648.774,3.72104
10418,650.966,3.71522
10427,641.405,3.7443
10451,648.774,3.72077
10476,658.213,3.69277
10500,662.518,3.70719
10525,659.651,3.71763
10552,643.626,3.72742
10577,646.574,3.71563
10601,647.308,3.73066
10626,652.423,3.74168
10651,627.885,3.75396
10676,645.838,3.70169
10701,645.102,3.71808
10727,632.43,3.77694
10751,633.183,3.74656
10775,636.188,3.75544
10801,620.992,3.80899
10826,649.506,3.67628
10852,660.369,3.60104
10877,666.792,3.61667
10901,683.6,3.59771
10926,679.44,3.62578
10950,658.933,3.66112
10976,657.492,3.66457
11001,662.518,3.66936
11026,667.502,3.64901
11051,675.252,3.64488
11077,676.651,3.64582
11102,659.651,3.6805
11126,651.695,3.66752
11151,641.405,3.68571
11176,645.102,3.69078
11201,639.92,3.71616
11225,642.887,3.71818
11251,641.405,3.71771
11277,640.663,3.73605
11301,636.936,3.77277
11326,654.601,3.70775
11351,662.518,3.69305
11377,655.325,3.69791
11402,645.102,3.75068
11426,656.048,3.79088
11451,634.688,3.79886
11476,648.774,3.751
11502,663.233,3.68914
11527,657.492,3.66816
11551,649.506,3.69344
11577,640.663,3.72679
11600,648.774,3.72254
11627,643.626,3.72464
11651,645.102,3.74056
11676,607.71,3.90688
11702,650.236,3.76196
11726,658.933,3.69574
11752,650.236,3.70436
11776,655.325,3.71122
11801,651.695,3.73652
11825,651.695,3.75356
11851,649.506,3.76099
11876,645.102,3.77152
11901,649.506,3.79557
11925,641.405,3.76726
11951,655.325,3.73775
11976,663.946,3.75491
12000,642.887,3.765
12026,667.502,3.73209
12050,652.423,3.71544
12077,661.803,3.71689
12101,675.252,3.71551
12125,651.695,3.70112
12152,655.325,3.71048
12177,630.162,3.78578
12200,663.946,3.70049
12225,666.082,3.65285
12252,663.233,3.64761
12277,673.85,3.6169
12301,670.332,3.62657
12327,666.082,3.65544
12351,663.233,3.75962
12376,638.43,3.78757
12402,656.048,3.71271
12427,682.908,3.67498
