step,pElo,nll,segment
85103,1706,1.959,3
85377,1707,1.959,3
85651,1710,1.954,3
85902,1707,1.955,3
86152,1709,1.953,3
86402,1710,1.951,3
86653,1709,1.954,3
86928,1703,1.959,3
87201,1707,1.959,3
87453,1700,1.963,3
87728,1689,1.983,3
87978,1719,1.951,3
88251,1701,1.963,3
88526,1715,1.958,3
88778,1702,1.968,3
89052,1704,1.965,3
89326,1708,1.965,3
89578,1704,1.970,3
89853,1702,1.970,3
90128,1703,1.971,3
90402,1704,1.968,3
90653,1706,1.971,3
90903,1708,1.963,3
91153,1703,1.962,3
91403,1702,1.959,3
91653,1702,1.971,3
91926,1693,2.002,3
92177,1705,1.984,3
92427,1702,1.994,3
92702,1703,1.966,3
92952,1706,1.974,3
93203,1703,1.974,3
93477,1700,1.979,3
93728,1704,1.970,3
94002,1703,1.972,3
94253,1704,1.975,3
94527,1704,1.972,3
94778,1702,1.973,3
95028,1707,1.975,3
95302,1701,1.991,3
95553,1701,1.970,3
95803,1713,1.967,3
96053,1702,1.988,3
96303,1701,2.010,3
96553,1694,2.005,3
96827,1701,1.986,3
97078,1707,1.978,3
97352,1707,1.980,3
97603,1707,1.987,3
97877,1710,1.986,3
98152,1705,1.987,3
98403,1708,1.984,3
98677,1704,1.990,3
98927,1708,1.990,3
99202,1704,1.991,3
99477,1701,1.981,3
99728,1698,2.003,3
100002,1710,1.996,3
100277,1700,1.981,3
100527,1697,2.012,3
100800,1695,1.992,3
101051,1697,1.993,3
101302,1700,1.992,3
101552,1696,1.996,3
101803,1703,1.991,3
102077,1700,1.992,3
102328,1695,1.990,3
102603,1695,1.994,3
102877,1695,1.994,3
103128,1693,2.000,3
103378,1687,2.010,3
103628,1705,1.975,3
103903,1694,1.997,3
104177,1695,2.006,3
104427,1686,2.008,3
104702,1695,2.002,3
104976,1695,2.002,3
105227,1697,2.012,3
105478,1697,2.007,3
105753,1693,2.005,3
106028,1694,2.003,3
106301,1698,2.004,3
106551,1697,2.003,3
106801,1700,2.001,3
107052,1695,2.002,3
107327,1695,2.003,3
107577,1693,2.010,3
107852,1700,1.984,3
108102,1685,2.016,3
108354,1689,2.022,3
108626,1692,2.014,3
108878,1684,2.018,3
109152,1683,2.017,3
109403,1683,2.015,3
109677,1686,2.017,3
109928,1682,2.016,3
110203,1689,2.015,3
110477,1684,2.015,3
110728,1684,2.016,3
111002,1681,2.021,3
111252,1682,2.019,3
111502,1677,2.023,3
111753,1698,2.017,3
112003,1682,2.020,3
112277,1689,2.014,3
112528,1683,2.028,3
112802,1681,2.040,3
113052,1678,2.036,3
113326,1681,2.029,3
113577,1685,2.033,3
113827,1678,2.040,3
114102,1683,2.035,3
114377,1682,2.032,3
114627,1681,2.039,3
114878,1680,2.038,3
115153,1676,2.040,3
115403,1683,2.044,3
115678,1681,2.004,3
115928,1672,2.041,3
116178,1680,2.027,3
116428,1692,2.006,3
116702,1665,2.053,3
116953,1677,2.032,3
117203,1678,2.029,3
117477,1679,2.027,3
117752,1686,2.032,3
118026,1681,2.038,3
118277,1678,2.034,3
118528,1675,2.029,3
118803,1681,2.028,3
119079,1674,2.032,3
119353,1677,2.025,3
119627,1685,2.022,3
119877,1689,2.011,3
120152,1682,2.056,3
120427,1684,2.036,3
120677,1671,2.038,3
120927,1678,2.023,3
121177,1676,2.031,3
121428,1678,2.028,3
121678,1686,2.022,3
121951,1684,2.022,3
122202,1684,2.027,3
122453,1686,2.020,3
122728,1686,2.021,3
122978,1689,2.024,3
123252,1675,2.034,3
123502,1672,2.048,3
123753,1675,2.066,3
124003,1671,2.042,3
124254,1677,2.028,3
124528,1664,2.058,3
124800,1683,2.028,3
125053,1682,2.032,3
125326,1686,2.029,3
125577,1688,2.029,3
125828,1687,2.028,3
126078,1686,2.027,3
126328,1686,2.024,3
126604,1687,2.027,3
126878,1685,2.032,3
127128,1680,2.032,3
127401,1675,2.054,3
127651,1672,2.080,3
127902,1661,2.070,3
128153,1691,2.019,3
128428,1706,2.041,3
128678,1690,2.031,3
128928,1674,2.042,3
129202,1683,2.037,3
129452,1686,2.033,3
129726,1682,2.035,3
129978,1683,2.035,3
130252,1684,2.033,3
130503,1687,2.034,3
130776,1683,2.034,3
131028,1687,2.032,3
131301,1685,2.040,3
131552,1689,2.041,3
131826,1679,2.039,3
132077,1675,2.060,3
132351,1680,2.041,3
132601,1676,2.049,3
132853,1689,2.039,3
133128,1693,2.038,3
133403,1687,2.040,3
133653,1691,2.039,3
133927,1685,2.042,3
134202,1690,2.044,3
134476,1691,2.038,3
134728,1693,2.037,3
135001,1688,2.039,3
135252,1686,2.033,3
135526,1674,2.047,3
135778,1686,2.053,3
136052,1671,2.063,3
136327,1675,2.062,3
136600,1664,2.075,3
136851,1672,2.050,3
137101,1680,2.043,3
137353,1680,2.044,3
137626,1683,2.044,3
137876,1678,2.040,3
138126,1681,2.043,3
138376,1680,2.042,3
138626,1683,2.042,3
138877,1679,2.042,3
139128,1682,2.042,3
139403,1686,2.023,3
139676,1668,2.054,3
139928,1658,2.072,3
140203,1677,2.057,3
140476,1702,2.024,3
140728,1682,2.047,3
141001,1684,2.041,3
141252,1687,2.043,3
141504,1687,2.043,3
141778,1685,2.038,3
142052,1686,2.046,3
142303,1686,2.044,3
142553,1683,2.046,3
142826,1679,2.044,3
143077,1680,2.048,3
143327,1672,2.051,3
143577,1682,2.036,3
143827,1680,2.059,3
144077,1668,2.068,3
144353,1685,2.045,3
144628,1674,2.047,3
144878,1685,2.030,3
145128,1686,2.032,3
145378,1682,2.032,3
145651,1682,2.036,3
145901,1690,2.034,3
146152,1682,2.031,3
146403,1689,2.035,3
146677,1685,2.034,3
146928,1685,2.038,3
147178,1679,2.040,3
147451,1676,2.046,3
147702,1690,2.037,3
147952,1691,2.033,3
148202,1675,2.057,3
148453,1683,2.044,3
148727,1670,2.050,3
148977,1682,2.044,3
149229,1677,2.039,3
149501,1677,2.045,3
149753,1676,2.042,3
150003,1680,2.041,3
150253,1680,2.042,3
150527,1676,2.045,3
150777,1682,2.037,3
151027,1679,2.036,3
151277,1677,2.039,3
151551,1673,2.033,3
151801,1659,2.073,3
152051,1681,2.043,3
152301,1673,2.043,3
152551,1682,2.070,3
152802,1676,2.041,3
153052,1677,2.043,3
153302,1682,2.043,3
153552,1675,2.044,3
153803,1683,2.039,3
154077,1679,2.038,3
154327,1682,2.040,3
154578,1680,2.043,3
154828,1682,2.042,3
155078,1677,2.044,3
155351,1686,2.048,3
155603,1691,2.042,3
155877,1677,2.067,3
156151,1690,2.035,3
156401,1680,2.040,3
156652,1685,2.044,3
156903,1691,2.040,3
157153,1685,2.045,3
157403,1681,2.045,3
157653,1684,2.041,3
157903,1691,2.044,3
158176,1683,2.044,3
158427,1683,2.044,3
158703,1683,2.040,3
158976,1686,2.038,3
159227,1682,2.036,3
159477,1680,2.075,3
159727,1675,2.039,3
160001,1668,2.063,3
160251,1663,2.081,3
160501,1689,2.080,3
160753,1665,2.068,3
161003,1675,2.060,3
161253,1679,2.048,3
161527,1671,2.054,3
161778,1672,2.050,3
162051,1673,2.049,3
162303,1680,2.052,3
162553,1677,2.054,3
162803,1676,2.054,3
163053,1677,2.057,3
163303,1668,2.062,3
163577,1660,2.064,3
163851,1664,2.069,3
164101,1678,2.062,3
164351,1655,2.081,3
164602,1684,2.078,3
